ReleasePackageName,ReleasePackageVersion,ReleaseNumber,ReleaseARCH,ReleaseSizeBytes,ReleaseSourceRPM
fdk-aac-free,2.0.0,15.el10,x86_64,621736,fdk-aac-free-2.0.0-15.el10.src.rpm
libdvdread,6.1.3,9.el10,x86_64,164022,libdvdread-6.1.3-9.el10.src.rpm
orc,0.4.39,2.el10,x86_64,794363,orc-0.4.39-2.el10.src.rpm
pixman,0.43.4,2.el10,x86_64,694319,pixman-0.43.4-2.el10.src.rpm
libqrtr-glib,1.2.2,7.el10,x86_64,79023,libqrtr-glib-1.2.2-7.el10.src.rpm
glibmm2.68,2.78.1,5.el10,x86_64,3363570,glibmm2.68-2.78.1-5.el10.src.rpm
bubblewrap,0.10.0,3.el10,x86_64,137263,bubblewrap-0.10.0-3.el10.src.rpm
libxkbfile,1.1.3,3.el10,x86_64,206799,libxkbfile-1.1.3-3.el10.src.rpm
libpsl,0.21.5,6.el10,x86_64,82456,libpsl-0.21.5-6.el10.src.rpm
libical,3.0.18,3.el10,x86_64,1737666,libical-3.0.18-3.el10.src.rpm
xml-common,0.6.3,65.el10,noarch,80280,sgml-common-0.6.3-65.el10.src.rpm
iso-codes,4.16.0,6.el10,noarch,19758350,iso-codes-4.16.0-6.el10.src.rpm
dbus-common,1.14.10,5.el10,noarch,11504,dbus-1.14.10-5.el10.src.rpm
lmdb-libs,0.9.32,4.el10,x86_64,107862,lmdb-0.9.32-4.el10.src.rpm
userspace-rcu,0.14.0,7.el10,x86_64,415848,userspace-rcu-0.14.0-7.el10.src.rpm
gsm,1.0.22,8.el10,x86_64,70400,gsm-1.0.22-8.el10.src.rpm
lame-libs,3.100,19.el10,x86_64,1246583,lame-3.100-19.el10.src.rpm
libICE,1.1.1,5.el10,x86_64,185549,libICE-1.1.1-5.el10.src.rpm
libevdev,1.13.1,6.el10,x86_64,88155,libevdev-1.13.1-6.el10.src.rpm
libglvnd,1.7.0,7.el10,x86_64,542982,libglvnd-1.7.0-7.el10.src.rpm
libieee1284,0.2.11,46.el10,x86_64,88135,libieee1284-0.2.11-46.el10.src.rpm
libSM,1.2.4,5.el10,x86_64,99596,libSM-1.2.4-5.el10.src.rpm
libical-glib,3.0.18,3.el10,x86_64,1829146,libical-3.0.18-3.el10.src.rpm
pinentry,1.3.1,1.el10,x86_64,268296,pinentry-1.3.1-1.el10.src.rpm
gcr3-base,3.41.1,10.el10,x86_64,814202,gcr3-3.41.1-10.el10.src.rpm
libgtop2,2.41.2,5.el10,x86_64,513681,libgtop2-2.41.2-5.el10.src.rpm
dbus-tools,1.14.10,5.el10,x86_64,130177,dbus-1.14.10-5.el10.src.rpm
xmlsec1,1.2.39,3.el10,x86_64,593214,xmlsec1-1.2.39-3.el10.src.rpm
flac-libs,1.4.3,6.el10,x86_64,682207,flac-1.4.3-6.el10.src.rpm
libtheora,1.1.1,39.el10,x86_64,493126,libtheora-1.1.1-39.el10.src.rpm
gettext-libs,0.22.5,6.el10,x86_64,1759458,gettext-0.22.5-6.el10.src.rpm
attr,2.5.2,5.el10,x86_64,177162,attr-2.5.2-5.el10.src.rpm
libksba,1.6.7,2.el10,x86_64,403876,libksba-1.6.7-2.el10.src.rpm
groff-base,1.23.0,10.el10,x86_64,4034790,groff-1.23.0-10.el10.src.rpm
exempi,2.6.4,7.el10,x86_64,1474501,exempi-2.6.4-7.el10.src.rpm
webrtc-audio-processing,1.3,5.el10,x86_64,1406144,webrtc-audio-processing-1.3-5.el10.src.rpm
adwaita-icon-theme,46.0,3.el10,noarch,1240223,adwaita-icon-theme-46.0-3.el10.src.rpm
cpio,2.15,3.el10,x86_64,1146576,cpio-2.15-3.el10.src.rpm
diffutils,3.10,8.el10,x86_64,1657994,diffutils-3.10-8.el10.src.rpm
duktape,2.7.0,10.el10,x86_64,630984,duktape-2.7.0-10.el10.src.rpm
efivar-libs,39,3.el10,x86_64,389098,efivar-39-3.el10.src.rpm
inih,58,3.el10,x86_64,27082,inih-58-3.el10.src.rpm
libpath_utils,0.2.1,58.el10,x86_64,62880,ding-libs-0.6.2-58.el10.src.rpm
libini_config,1.3.1,58.el10,x86_64,163216,ding-libs-0.6.2-58.el10.src.rpm
